train_loss,train_accuracy,val_loss,val_accuracy
1.8340896054029328,0.4458345964119382,2.678134591796784,0.7295524691358025
0.8477361016988748,0.7243640973351338,0.4003846307893316,0.9436728395061729
0.44618695429174526,0.8546311351172596,0.4090762143425062,0.9821244855967078
0.30285637761091566,0.90200347231791,0.0365453198015563,0.9930555555555556
0.23565836412125366,0.925427839171053,0.08638617605570949,0.9890689300411523
0.23744655281113747,0.9268057431035908,0.10879195782187703,0.9945987654320988
0.1533085802154667,0.9519938269903823,0.02460168420976752,0.9969135802469136
0.1748929886767406,0.9459861658445173,0.2463658087528323,0.9953703703703703
0.14356844433495466,0.9549425414060132,0.03829452753194788,0.9979423868312757
0.11586260704480876,0.9641193815967151,0.016210408729165047,0.9972993827160493
0.11267548917555358,0.9647807754843333,0.005550071301740304,0.9988425925925926
0.09707351880273352,0.9698239038774217,0.008145016623913315,0.9975565843621399
0.09815362769266284,0.9699341361920247,0.005116077178077158,0.9989711934156379
0.08933320424154285,0.9725245955851958,0.003293843722901025,0.9994855967078189
0.08424257908791566,0.973737151045829,0.004098862557526948,0.9992283950617284
0.08090663121347552,0.9744812191693996,0.004609156798320488,0.9987139917695473
0.07352767724215652,0.9769338881693168,0.00330512698921038,0.9993569958847737
0.06999072499834018,0.9783117921018547,0.004237896624264404,0.998585390946502
0.06528163487796435,0.9796070217984402,0.003918824803658123,0.9988425925925926
0.06767113175177936,0.9785873728883622,0.0032798043613924527,0.9990997942386831
0.06568558880853888,0.9801581833714553,0.003910400985934002,0.9990997942386831
0.06930218516970199,0.9783944663378069,0.0025066736354900482,0.9994855967078189
0.05295129582837637,0.9835202689668476,0.0021830982749655703,0.9994855967078189
0.056621301763272125,0.982803758921928,0.0029128532566289134,0.9993569958847737
0.05731881562532035,0.9830517816297848,0.002873279872235453,0.9992283950617284
0.05531262692960952,0.9829415493151817,0.004469329781602478,0.9987139917695473
0.05147980858168007,0.9838785239893074,0.0023016606500591615,0.9994855967078189
0.0483392640840722,0.9850084052139885,0.006342131542714944,0.998070987654321
0.046742153793144406,0.9850635213712899,0.0033531076567091703,0.9993569958847737
0.0355231305193226,0.9890870008543005,0.002158264630942449,0.9994855967078189
0.029630594274779105,0.9905751371014413,0.0019996835945966956,0.9996141975308642
0.029619872582519278,0.9905751371014413,0.0016739252703244997,0.9996141975308642
0.02960141977277463,0.991291647146361,0.0018409548478068567,0.9996141975308642
0.026985420305655407,0.9918703667980269,0.0019404420221486099,0.9996141975308642
0.029837390908872784,0.9902444401576322,0.0023273678368784497,0.9996141975308642
0.022462014540690765,0.9927246672362003,0.002081943089834576,0.9994855967078189
0.023756083785718078,0.9923388541350897,0.002258995598250552,0.9996141975308642
0.02539668459164285,0.9921459475845344,0.0017265967216832112,0.9996141975308642
0.018816639362073683,0.9942679196406427,0.0018894587942245862,0.9996141975308642
0.017371741180363123,0.9942954777192934,0.0016075993740807945,0.9996141975308642
0.01557514294245831,0.9952048943147683,0.0011911812178748385,0.9997427983539094
0.015687313135729394,0.9947364069777055,0.001352116577816002,0.9997427983539094
0.015737290479057083,0.9950119877642131,0.0014646652871343386,0.9997427983539094
0.015832877150728373,0.9950671039215145,0.001314323443060218,0.9996141975308642
0.014570960935710692,0.9950946620001654,0.0008442435566266466,0.9997427983539094
0.014501905529786628,0.995370242786673,0.001261830034630623,0.9997427983539094
0.015518333463142537,0.9952048943147683,0.0013801389094162501,0.9994855967078189
0.015251484318202006,0.9949293135282609,0.0011676834164678052,0.9994855967078189
0.014295742971330589,0.9953978008653237,0.001094657461050153,0.9996141975308642
0.014096395695632414,0.9956458235731804,0.0008954099685506656,0.9997427983539094
