epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2427.35,0.37963,0.53585,0.97551,0.98412,0.98749,0.99283,0.959,0.27377,0.13995,0.87875,0.0213087,0.0071029,0.0213087,0.0071029,0.0213087,0.0071029,0.0213087,0.0071029
31,2828.41,0.38,0.53826,0.9771,0.98255,0.99214,0.99322,0.95968,0.27306,0.1373,0.87866,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003
32,3230.52,0.37723,0.53349,0.977,0.98047,0.99481,0.99333,0.95954,0.27226,0.13574,0.87821,0.0207093,0.0069031,0.0207093,0.0069031,0.0207093,0.0069031,0.0207093,0.0069031
33,3622.96,0.3758,0.52654,0.97544,0.98265,0.99488,0.99363,0.96034,0.27182,0.13449,0.8783,0.0204096,0.0068032,0.0204096,0.0068032,0.0204096,0.0068032,0.0204096,0.0068032
34,4010.84,0.37403,0.52385,0.97592,0.98338,0.99378,0.99391,0.96058,0.27123,0.13375,0.87808,0.0201099,0.0067033,0.0201099,0.0067033,0.0201099,0.0067033,0.0201099,0.0067033
35,4404.34,0.37051,0.51912,0.97426,0.98347,0.99508,0.99404,0.96028,0.27088,0.13299,0.87794,0.0198102,0.0066034,0.0198102,0.0066034,0.0198102,0.0066034,0.0198102,0.0066034
36,4792.21,0.37196,0.51852,0.9748,0.98398,0.9943,0.99418,0.96028,0.27031,0.13217,0.8778,0.0195105,0.0065035,0.0195105,0.0065035,0.0195105,0.0065035,0.0195105,0.0065035
37,5187.04,0.37123,0.51368,0.97573,0.9888,0.99168,0.99426,0.96044,0.26964,0.13148,0.87752,0.0192108,0.0064036,0.0192108,0.0064036,0.0192108,0.0064036,0.0192108,0.0064036
38,5579.14,0.36795,0.50673,0.97394,0.98821,0.99283,0.99437,0.961,0.269,0.13103,0.87732,0.0189111,0.0063037,0.0189111,0.0063037,0.0189111,0.0063037,0.0189111,0.0063037
39,5972.51,0.36491,0.50524,0.97182,0.98553,0.99604,0.99443,0.9614,0.26849,0.13046,0.87724,0.0186114,0.0062038,0.0186114,0.0062038,0.0186114,0.0062038,0.0186114,0.0062038
40,6364.42,0.36586,0.50533,0.97248,0.98685,0.99576,0.99451,0.9613,0.26793,0.1301,0.87705,0.0183117,0.0061039,0.0183117,0.0061039,0.0183117,0.0061039,0.0183117,0.0061039
41,6755.69,0.36375,0.50133,0.97303,0.98757,0.99676,0.99457,0.96117,0.26767,0.13006,0.87683,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004
42,7148.7,0.36171,0.49652,0.97396,0.98891,0.99704,0.99463,0.96146,0.26732,0.12978,0.87655,0.0177123,0.0059041,0.0177123,0.0059041,0.0177123,0.0059041,0.0177123,0.0059041
43,7548.3,0.36125,0.49621,0.97181,0.99008,0.99664,0.99464,0.96151,0.26701,0.12904,0.8764,0.0174126,0.0058042,0.0174126,0.0058042,0.0174126,0.0058042,0.0174126,0.0058042
44,7940.46,0.35968,0.48782,0.97211,0.98992,0.9966,0.99466,0.96159,0.26676,0.12886,0.87618,0.0171129,0.0057043,0.0171129,0.0057043,0.0171129,0.0057043,0.0171129,0.0057043
45,8328.4,0.35866,0.48381,0.97017,0.99285,0.99555,0.99471,0.96216,0.26639,0.12849,0.87615,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
46,8723.91,0.35669,0.48534,0.97001,0.9937,0.99451,0.99477,0.96199,0.2659,0.12833,0.87608,0.0165135,0.0055045,0.0165135,0.0055045,0.0165135,0.0055045,0.0165135,0.0055045
47,9119.88,0.35492,0.48318,0.96922,0.99445,0.99497,0.9948,0.96199,0.2657,0.12785,0.87599,0.0162138,0.0054046,0.0162138,0.0054046,0.0162138,0.0054046,0.0162138,0.0054046
48,9512.35,0.353,0.47951,0.96914,0.99487,0.99523,0.99484,0.96229,0.26537,0.12755,0.87577,0.0159141,0.0053047,0.0159141,0.0053047,0.0159141,0.0053047,0.0159141,0.0053047
49,9914.83,0.35364,0.47583,0.97012,0.99471,0.99536,0.99482,0.96208,0.26509,0.12752,0.87567,0.0156144,0.0052048,0.0156144,0.0052048,0.0156144,0.0052048,0.0156144,0.0052048
